_id: 67007855bff50e2c87c7b320, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: false, P7: false, P8: true, P9: false, P10: false, P11: false, P12: true, P13: false, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: true, P25: false, P26: false, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b321, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: false, P15: true, P16: true, P17: false, P18: true, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b322, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: false, P12: false, P13: false, P14: false, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: false, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b323, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: true, P7: true, P8: false, P9: false, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: false, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b324, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: false, P15: true, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b325, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: false, P7: false, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: false, P15: true, P16: false, P17: false, P18: false, P19: false, P20: true, P21: false, P22: false, P23: false, P24: false, P25: false, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b326, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: false, P7: false, P8: false, P9: true, P10: false, P11: false, P12: true, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: true, P20: false, P21: false, P22: false, P23: true, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b327, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b328, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: false, P5: true, P6: true, P7: true, P8: false, P9: false, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: true, P22: false, P23: false, P24: true, P25: true, P26: true, P27: false, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b329, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: true, P9: false, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: false, P22: false, P23: true, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b32a, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: false, P4: true, P5: true, P6: true, P7: true, P8: false, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: false, P22: false, P23: true, P24: false, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
